Báo cáo Dịch vụ Hiển thị trả theo CPC - Shopee Việt Nam
Tên đăng nhập,glanzenofficial
Tên gian hàng,Glanzen Vietnam
Mã Người bán,945974027
Thời gian tạo báo cáo,13/07/2026 09:01
Khoảng thời gian,06/07/2026 - 12/07/2026

Thứ tự,Tên Dịch vụ Hiển thị,Trạng thái,Loại Dịch vụ Hiển thị,Mã sản phẩm,Cài đặt Đối tượng,Nội dung Dịch vụ Hiển thị,Phương thức đấu thầu,Vị trí,Ngày bắt đầu,Ngày kết thúc,Số lượt xem,Số lượt click,Tỷ Lệ Click,Add to Cart,Add to Cart Rate,Lượt chuyển đổi,Lượt chuyển đổi trực tiếp,Tỷ lệ chuyển đổi,Tỷ lệ chuyển đổi trực tiếp,Chi phí cho mỗi lượt chuyển đổi,Chi phí cho mỗi lượt chuyển đổi trực tiếp,Sản phẩm đã bán,Sản phẩm đã bán trực tiếp,Doanh số,Doanh số trực tiếp,Chi phí,ROAS,ROAS trực tiếp,ACOS,ACOS trực tiếp,Lượt xem Sản phẩm,Lượt clicks Sản phẩm,Tỷ lệ Click Sản phẩm,Voucher Amount,Vouchered Sales
1,Shop GMV Max,Đang diễn ra,,-,-,-,GMV Max Auto Bidding (Shop),Tất cả,24/04/2026 00:00:00,Không giới hạn,9241,231,2.50%,-,-,15,11,6.49%,4.76%,50419.70,68754.14,16,12,3917000,3588000,756295,5.18,4.74,19.31%,21.08%,-,-,-,0,0
2,"Sáp dưỡng tóc Glanzen Limited Matte Finish giữ nếp vượt trội 14h, không ngán mũ bảo hiểm 60g",Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,24655506156,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,11/07/2025 00:00:00,Không giới hạn,5110,103,2.02%,1,0.97%,13,7,12.62%,6.80%,44236.18,82152.91,13,7,3351000,2793000,575070,5.83,4.86,17.16%,20.59%,-,-,-,0,0
3,Gôm xịt giữ nếp tóc Glanzen tạo kiểu tự nhiên Nam/Nữ & dễ dàng restyle khi đội mũ bảo hiểm 380ml [6],Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,22820909502,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,24/09/2024 00:00:00,Không giới hạn,4076,95,2.33%,8,8.42%,7,7,7.37%,7.37%,75710.43,75710.43,7,7,1526000,1526000,529973,2.88,2.88,34.73%,34.73%,-,-,-,0,0
4,"Xịt tạo phồng Glanzen Premium Booster x2 tăng phồng cho tóc mỏng, dầu và xẹp 200ml [2]",Tạm dừng,Dịch vụ Hiển thị Sản phẩm,27472738994,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,28/07/2025 00:00:00,Không giới hạn,1341,40,2.98%,3,7.50%,2,2,5.00%,5.00%,96511.15,96511.15,2,2,558000,558000,193022,2.89,2.89,34.59%,34.59%,-,-,-,0,0
5,Sáp dưỡng tóc Glanzen Clay Wax giữ nếp vượt trội cho nam bất chấp mũ bảo hiểm hút dầu không bóng 60g [6],Tạm dừng,Dịch vụ Hiển thị Sản phẩm,23620871113,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,28/07/2025 00:00:00,Không giới hạn,766,30,3.92%,5,16.67%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,133338,0.00,0.00,0.00%,0.00%,-,-,-,0,0
